age,n,DSST_RT_mean,DSST_RT_std,OIS_STM_Acc_mean,OIS_STM_Acc_std,OIS_LTM_Acc_mean,OIS_LTM_Acc_std,ROCF_Remember_mean,ROCF_Remember_std,DSST_pHit_mean,DSST_pHit_std,TMT_Connect2_mean,TMT_Connect2_std,TMT_A_mean,TMT_A_std,TMT_B_mean,TMT_B_std,OMT_Acc_mean,OMT_Acc_std,ROCF_CopyScore_mean,ROCF_CopyScore_std,OIS_STM_LocErr_mean,OIS_STM_LocErr_std,OIS_LTM_LocErr_mean,OIS_LTM_LocErr_std,OMT_LocErr_Hard_mean,OMT_LocErr_Hard_std,ROCF_RecallScore_mean,ROCF_RecallScore_std,ALF_nWords_delayed_mean,ALF_nWords_delayed_std,OIS_STM_RightLoc_mean,OIS_STM_RightLoc_std,OIS_LTM_RightLoc_mean,OIS_LTM_RightLoc_std,OMT_TargetDetection_mean,OMT_TargetDetection_std,OMT_Misbinding_mean,OMT_Misbinding_std,OIS_STM_SemanticAcc_mean,OIS_STM_SemanticAcc_std,OIS_LTM_SemanticAcc_mean,OIS_LTM_SemanticAcc_std,TMT_BdA_mean,TMT_BdA_std,DSST_LearningRate_mean,DSST_LearningRate_std,DSST_BaseRate_mean,DSST_BaseRate_std,ROCF_CopyDuration_mean,ROCF_CopyDuration_std,ROCF_CopyMoveN_mean,ROCF_CopyMoveN_std,ROCF_RecallDuration_mean,ROCF_RecallDuration_std,ROCF_RecallMoveN_mean,ROCF_RecallMoveN_std,OMT_Acc_Easy_mean,OMT_Acc_Easy_std,OMT_Acc_Hard_mean,OMT_Acc_Hard_std,OMT_IdeRT_mean,OMT_IdeRT_std,OMT_LocErr_Easy_mean,OMT_LocErr_Easy_std,OMT_LocRT_mean,OMT_LocRT_std,CORSI_LocErr_mean,CORSI_LocErr_std,CORSI_CoV_mean,CORSI_CoV_std,ALF_nWords_immediate_mean,ALF_nWords_immediate_std,ALF_RecAcc_delayed_mean,ALF_RecAcc_delayed_std
18,19,2.34289950508864,0.631563472875412,98.1868767227117,2.4805715570833,75.1454967709254,17.8047670612004,92.4121324086105,7.13274111602024,98.9860546108769,1.55400910714013,2.68003156511834,0.836744566512815,17.8817398331139,3.44393763097486,24.1043939429873,5.49979534057315,89.2242288683717,8.85344929108292,99.0534616308333,1.52638585215639,0.217861534143673,0.0429618256707583,0.217307822454016,0.0519961238408085,0.166317929297017,0.0472708529925131,91.1573061044408,7.22539269862932,7.69361574711345,3.9276306570062,96.3981567506013,3.33624814210867,83.9880359657269,12.1617079172425,66.9576350422448,13.0732971748789,29.8234378859009,6.88425633793282,100,0,85.078214432117,13.7413578655723,132.077905347855,21.0297953101331,0.00120269751334676,0.00238221236880284,0.339937520191687,0.0869560694009435,110.126505655733,42.6465632449507,20.0048621965395,5.06952440340897,94.5173066228647,36.5422222491229,18.1218970038738,5.38222036543238,95.9698923975081,5.18226468664687,83.2440979334351,13.6678370059272,1.80417717685334,0.480717178226192,0.0841013316065402,0.0418046488714156,1.92632251307601,0.644078500318879,3.82742882330365,1.60219684334155,0.726998103190602,0.215678619797284,7.11688178753586,2.36765501859177,94.406501849184,9.0341250649288
19,30,2.12521558772668,0.429940863204714,98.2581730519634,2.43257375102694,79.8202763023215,14.6825943909842,93.0906807735756,6.83335339127636,99.0261205440489,1.41476163680237,2.73823220261219,0.820588831547873,18.3164622084538,3.96748592197523,25.1953442540319,6.08780727263478,91.7243575410575,6.59679341419128,99.1505887384242,1.41960014016183,0.215704076152099,0.041992099309233,0.218297596095042,0.0519928204150395,0.146962826953553,0.0492971814817292,92.3517114148339,6.661778818853,8.50572105824977,2.82085898961303,95.9360054678563,3.51154159893771,85.1844318648932,12.2671693654813,73.3423045204145,13.2560119931884,25.5728258939272,10.9489097866469,100,1.44990381623582e-14,88.0930957279555,12.0031252507594,135.346587624922,23.3229403329308,0.00209794114349203,0.00199826489572339,0.330172744624388,0.0913770340728472,102.73108435245,34.1161039888364,19.583135785996,4.77132149940666,86.5201383610155,31.7244908447475,17.2110741911933,4.13709863634147,95.9779499393685,5.06728206940751,89.3105097936897,8.1886142812278,1.79992773544833,0.496500294314094,0.0816984234163216,0.0390118832969223,2.0420732138655,0.786136742292804,4.37899151158372,0.82963974160063,0.686852143797642,0.190558889092104,7.24271360242229,2.34279465824691,94.3402760668309,8.76196052160717
20,34,2.26545979918166,0.597760329212568,98.2424564647516,2.42916372805324,80.4563462397815,14.7256699084451,93.0985697562381,6.79603342872594,98.3836556455093,2.59399360278774,2.76375495936269,0.812624305870433,18.8803959045483,4.83515238235151,25.7248234875614,6.38350480007664,91.753895613875,6.34215536968171,99.1433715582584,1.40107349816237,0.215427545336525,0.0408894859585517,0.217354292380468,0.0522067776094405,0.151765416233964,0.0565680070066446,92.3801362081229,6.58942863687776,7.54182954337687,3.74211455565411,95.7471898143258,3.63046814304857,85.6344430905501,12.312024863491,72.1972807689985,14.8831995419598,25.2666138646749,11.5141840278206,100,0,88.0675170493609,12.732386249548,134.118262525556,23.1628490273175,0.00229790186659983,0.00198218569686298,0.327768486699103,0.0950703422788955,103.418773052899,35.0144611885963,19.41758671753,4.73073532862942,88.4795826707329,33.9630543601954,17.2591798952156,4.1082115488285,96.0114255598698,4.98170969184203,87.4806082995536,10.1286779937274,1.78529243151234,0.496485723804892,0.0814864513538414,0.0381528602319494,2.05722898296782,0.795890734881043,4.03621462070654,1.33927599079984,0.667616289891435,0.179049935700239,7.31591372845558,2.33946437096496,94.2676931811837,8.86868691260547
21,44,2.23477433577869,0.564873749213241,98.3851614247866,2.37061041060398,81.521186153489,14.8310442674673,93.3795228321254,6.65490130219697,98.7110456994087,1.91327389299001,2.80649918549412,0.825370965018528,19.3384954580451,5.05422933439722,26.4360769287912,6.38896505642841,91.7499780632723,6.05921001465155,99.241557440033,1.32824574919939,0.214747521011455,0.0396601771013164,0.216461909818934,0.0518371950703428,0.151930191746859,0.0585281439735857,92.2932906269512,6.90698976687284,8.41751152723791,2.74677542800435,95.5791511507693,3.67633874989635,86.1474525857733,12.1930752680493,72.797769017964,14.8259559848897,26.7478530565608,10.1111590974162,100,0,87.9151291170926,13.4183834569432,134.788629928573,24.5901905930528,0.00242731011167959,0.00192893599303669,0.323841573066403,0.0959427333778062,106.18476583624,38.8899092613813,19.244088348981,4.64394955405674,87.0464269724375,33.8561969895238,17.1998021295885,4.01430100420013,97.2373644542841,3.7017983716259,87.5592980087121,9.57216185242035,1.76665298611174,0.492419661075114,0.0801373977205457,0.0390645031969675,2.02311275663717,0.731728633198567,4.22326894020632,1.39264660232765,0.688603326272152,0.209856985776786,7.37869493538968,2.28758769345239,94.4382560171328,8.75552215984434
22,53,2.19589604868514,0.538428487868692,98.5001586835512,2.31749053464354,81.2265204176131,15.9853538691043,93.6158082347185,6.58784525139999,98.8609086484071,1.32022724066736,2.94435396092022,1.01912914807485,19.7071185531462,5.27596775894413,26.9183135442054,6.51031484685284,91.8963402389579,5.7897298504126,99.2860983511117,1.27977595656667,0.213868322684506,0.0391896564698717,0.214490145223377,0.0509348270901731,0.154321979850847,0.0621938735839953,92.5698023375561,6.85834816847985,8.16913821031705,2.73312567300702,95.1931171759356,4.04253316493384,84.7976644512347,14.0780818932936,73.3007012253665,14.5166776870502,26.713001197215,10.2470777849997,100,0,86.9064345811273,14.6745628905554,133.72245822312,23.2683107471214,0.00249390062885551,0.00193778766281359,0.323320121234337,0.0957795415161976,102.866154281621,35.4175036385896,19.0358297122747,4.58955236333734,84.6754903971762,32.9750999570736,17.0695735295631,3.90566079472222,96.5791643110428,4.62948850641071,87.5382057320179,9.29984149800102,1.72206742098312,0.489697434911816,0.0833239472313649,0.0470813723885533,2.10371383746204,0.801186033877981,4.30964542837822,1.41497676024954,0.696878367547724,0.235451459793434,7.27245154951709,2.29607897384423,94.4081301524242,8.44309674000583
23,60,2.09878297636347,0.438427449797732,98.6466083005496,2.24624464258211,81.234692227887,16.3154408743434,93.4847031703288,6.86335052640244,98.7083360596667,1.35888757990111,3.01396805946766,1.13197267881933,19.907371522064,5.53696020505708,27.3956484978937,6.71431405892132,91.8629425671162,5.56924773421077,99.3527600106048,1.21094296483273,0.213500923246734,0.0392092944465176,0.212970679535221,0.0502380691210482,0.157815196293174,0.0641540342016898,92.4780025499049,7.19066983362852,8.06839016755742,2.64598907308934,95.1885274884721,4.05266783474145,84.7079604716644,14.1837115715027,73.164824260276,14.2817643244056,27.0433878893096,10.4329704659494,100,2.86908929372644e-14,87.0951931411705,14.4908395601977,135.935597722809,25.6844360727183,0.00242569149359133,0.00198219559087907,0.326135875492723,0.0960824140375896,102.176004680795,35.4339786912405,18.642012286763,4.13967127201841,83.3308908693531,32.3407094029697,17.1072559313735,3.80540812871663,97.2645325789476,3.90470626300958,87.415112742115,8.91460442573308,1.68864328789073,0.473889592470821,0.0776401266175256,0.0389538486221818,2.12979194613961,0.787783821178764,4.4239344721219,1.52440200724045,0.703842511899221,0.245132460840436,7.24843747328298,2.25587559955849,96.0215643597867,5.28360434819867
24,66,2.09521362435519,0.437226886534814,98.3687650825937,2.84713932416864,82.0356167853811,15.1356722337905,93.2176006925457,7.19686540169114,98.5942860150442,1.3660184424966,3.05678737420225,1.21441941559239,20.1190450735802,5.6562568246288,27.8946245526593,6.94099849979429,91.9899360580686,5.04100595418004,99.398768963503,1.15233776856536,0.213612367096123,0.0395435093078608,0.211904236252659,0.0495464759701244,0.161261940491199,0.0655427446533281,92.3552605099836,7.41727264453482,7.94387750750243,2.56870665596054,95.2139481681597,4.08852922299685,86.470717475317,11.9500058965232,72.7982066243528,13.8369046925478,27.4446103986816,10.3783496816987,100,2.86708354841009e-14,87.7070424373701,13.6516762192526,137.446514994285,26.823452375051,0.00233961159394515,0.00201271837330158,0.334074183726403,0.101122117253502,102.53830927094,35.9000132296901,18.6045581366181,4.13689732658839,82.9931406925947,32.9015436828329,17.0412036834287,3.65929526581462,97.481240909393,3.70384977163102,87.0770748523259,8.57033649147495,1.65962036412633,0.456994428934408,0.0763684778977748,0.0384910185790451,2.13859713480325,0.757751525164258,4.56647761367516,1.60525333436586,0.70435079111883,0.251869258583353,7.16916015209991,2.18771494765469,95.97204588494,5.24614778496802
25,74,2.08699261036395,0.432062734389218,98.3623540307135,2.93829653633748,81.3510324604496,15.307788592548,93.0903089852177,7.47900032799658,98.4245886946272,1.41296757228503,3.08155861998009,1.2868471163621,20.4847439591271,6.33642817673275,28.6608083901491,7.95035356321037,91.8843680505471,4.96496352579439,99.4523713218111,1.08654612683582,0.215216339653587,0.0400012352566993,0.213122644464591,0.0489703205385556,0.164000778960322,0.0644151876959065,92.3543468233325,7.64922407663113,7.9449253922582,2.50886207836087,95.3271163397991,4.10549806948289,86.3667875238295,11.9740435100498,72.394716260605,13.2269622917154,27.7928246027989,10.1293110942929,100,2.86595177154562e-14,87.4944185537555,13.3835187520315,137.829329093737,25.1440994303093,0.00235918436986998,0.00215542065585806,0.33748113709858,0.103672715144953,102.842693442861,36.1080134594258,18.4424509050151,4.10290276793799,82.2700356691134,32.6441311326856,17.069191117875,3.55430280977724,97.8053526200796,3.33231189321955,86.9926522329787,8.04994738482396,1.62972068727611,0.438371097012223,0.0766340019688374,0.039205188522584,2.08695179646655,0.666512461151933,5.3699427622364,2.98798722445304,0.713411057027292,0.26327201597194,7.06397906457323,2.12887773943068,95.9938802164076,5.1517710347427
26,84,2.13676729039005,0.560102682577526,98.3170859165345,3.05896994358251,81.1927212693989,15.3056349914651,93.9327446036906,7.21713604153889,98.3034971496625,1.52458046772693,3.11739742429066,1.39251606069177,20.2712268500902,6.32702082668469,28.4178255325085,8.0387695408327,91.7191735796855,5.01001342241582,99.5595690156308,0.958798764111262,0.215089518226042,0.0400881616043101,0.212124551501028,0.0453385809894184,0.162202279416879,0.0590715762979661,93.4644380228112,7.2887289839432,8.05447027397224,2.41828246875532,96.0308555716178,3.60886764032644,87.6161390237092,10.5613859007601,71.9749971471128,11.9171620277576,27.7367792813519,9.91341877245354,100,1.43195505089718e-14,87.966298157707,12.8370691585209,139.28092957626,25.3710993828438,0.00211654758230861,0.00198659073311085,0.340144899650321,0.105241226117558,100.039001292264,32.7261281105426,18.1207837988241,4.03678402058198,80.5701537585442,30.0873769950036,16.9833936575482,3.45526500214866,97.8923488925484,3.29451921072027,86.4525601306887,8.03464941473287,1.60678577507618,0.414129402437069,0.0778514281981893,0.0405565690736739,2.07783366325372,0.634928910059943,5.55718394772696,2.97819376421229,0.719233991550026,0.272342385524763,7.28979574573336,1.86103476369985,96.0941623772072,4.92771079809182
27,91,2.11506148796323,0.53093565135031,98.2541850922156,3.16022341663539,80.4735390450535,14.8937434005871,95.1403971635895,6.40677995349433,98.3149449275968,1.60100623122137,3.0789666463708,1.41249123840231,19.7005113829376,6.11715742921341,27.9568811046652,8.12469729376195,91.9695086759967,4.83977071126465,99.6313481307254,0.866489408063875,0.214844420430543,0.0405521029846507,0.210525087348426,0.045107577814379,0.162471713587547,0.0559560410555457,94.5428063450506,6.71680877733886,8.33167985873654,2.35179899469995,96.2852534918491,3.43362525441569,88.017854013062,9.86761345881819,72.6578130482246,10.5836464392538,27.3507780818669,9.55319229116627,99.9999999999999,5.72355959066842e-14,88.2028759773977,11.9250086832337,143.277968608973,28.0808275455286,0.00201831740111181,0.00190892603348488,0.344186677355084,0.106395742814653,100.095197226076,32.724337981193,17.8563332292886,4.03489393164125,80.039117298601,30.0502266609539,16.8338322686547,3.38485726371824,97.7967373216838,3.37234317432174,86.4741791086638,8.05503303169145,1.60579061891751,0.405338687507008,0.0782489256316891,0.0409393744684042,2.04486107058736,0.615097685633,5.31489505465388,2.62935590490988,0.751506052226655,0.30423004873926,7.33800210894395,1.84253517975116,96.8572352636329,3.97844939495702
28,88,2.09920117450618,0.507089782406299,98.1527301018,3.20995304149403,79.9692052433426,14.5272437111988,94.8217319931352,7.19552556999888,98.3403612103597,1.70089688506267,3.0207429407066,1.40734622578085,19.2124122844723,5.81675046878566,27.3647996559093,7.90049553548767,92.106290926663,4.78495171991491,99.7473876792374,0.674307036846085,0.210762786335228,0.034474061262707,0.212290502755887,0.043571547663462,0.162410545894643,0.0539232299614059,94.6822294580488,7.10988854817959,8.51942264463334,2.27964372039971,96.5186135922627,3.28732455895244,88.2947483604455,9.48965482382335,72.4951225534326,9.90301974357356,27.1068313676182,9.10250097824769,99.9999999999999,7.15384015114781e-14,88.4253450192163,11.3052380650633,144.462900883103,28.481701406288,0.00200507013414257,0.00182718219937096,0.350792800574284,0.111976569326771,100.672247729639,32.5957206258599,17.578682466318,3.98378784862349,80.1019568394508,29.7382176778437,16.7386466923366,3.38350129097337,97.7869113572571,3.40656814697176,86.4222335001786,8.01306584334439,1.60690662510169,0.397045749923816,0.0791749506689401,0.04186990259595,1.97816580676037,0.554675392277895,5.23150198115708,2.4870020783746,0.748832803631857,0.291342391604443,7.38570244928335,1.85938250690745,97.2242757584211,3.50391668259457
29,88,2.08407580898092,0.472464115998528,98.1051364989948,3.22356061810931,80.7058197856569,13.2372710540623,95.3650889471107,6.99104021676407,98.5277383311788,1.5599003144985,2.95422942096979,1.36455217780335,18.7190360703215,5.3948416126238,26.826297202084,7.60433675578054,92.7046178775487,4.40513165840504,99.8029106858297,0.589165715488099,0.210355745235833,0.0339877504600699,0.213868760485595,0.041928606103775,0.158772095949963,0.0534039727961801,95.3126277351233,6.86708608962507,8.80592428560663,2.08128268585821,96.5864358248758,3.20306366173151,88.5374803660367,9.22726866031085,73.3453384585052,10.1604424335504,26.266116600616,8.99073444480622,99.9999999999999,5.72395010430251e-14,90.2009103244827,8.50292124708912,145.093137937636,28.5141625135858,0.00207627677062545,0.00173149130184617,0.350042397173755,0.111470237546859,100.026968570458,31.2861933976135,17.4072045296617,3.9614260225842,80.0766488176105,29.5931270681808,16.6600684337672,3.47212364529751,97.7749085435006,3.43468385002774,86.8564896313522,7.99515823633099,1.61302988545342,0.39981373791343,0.0790376822138089,0.0420938418348422,1.94777317666594,0.545350949790364,5.07774384071022,2.26938135754227,0.741259650752994,0.274070625301586,7.49338424460668,1.88388648736465,97.1898121238862,3.41187230063335
30,79,2.07818828737337,0.478886893142528,98.0643779640674,3.22996403187634,80.6925962130542,12.7161893301514,95.8167671734819,6.71421452559911,98.4937429219787,1.78870668169506,2.88780618020163,1.31603035631179,18.4059260457341,5.20599028870023,26.367682484915,7.44974293886667,92.8861212008024,4.44788054015267,99.8255484058031,0.554941405035767,0.211989239309076,0.0359950635886221,0.213849452633843,0.041711094408894,0.156324026429898,0.0531095027587973,95.7938925795509,6.55915054340113,8.86277925349782,2.01155532729299,96.5637383746808,3.21825378538889,88.6165364400239,9.10729766277153,73.5824076668172,9.9822209866558,25.396582500805,9.15603825854477,100,0,89.0322049789817,10.5572885626884,144.798651472651,28.8488865798507,0.0021780997594436,0.00168179896353721,0.350085088301189,0.111393437366473,98.4158567430673,29.0821666024488,17.1956259914861,3.8743332754084,80.1783901257922,29.9289861454564,16.5658805434523,3.52259103679662,97.7371122198286,3.48927821368407,87.7442046710383,7.41136757352924,1.61325440631037,0.400126627503744,0.0786965871131572,0.0415897126537922,1.92206229183746,0.535882592420113,5.24520967960496,2.67440791685568,0.733577565825076,0.257186527089075,7.59033830820654,1.90569107962131,97.2328896522605,3.3107492057138
31,78,2.10543110255569,0.632342070219725,98.0792205702152,3.19267119939963,81.112086077265,12.4019446598282,95.8348126855542,6.82530668832514,98.5864206515893,1.7834679839259,2.79531574114877,1.17557675367274,18.160864310409,4.86246528131229,26.2527024376144,7.14507077028078,93.0626408767283,4.46571633315303,99.8402964763158,0.519726050668944,0.212637357631214,0.0380679808171553,0.211305217783066,0.0441845949156076,0.151400884111305,0.0516320542621174,95.822509773504,6.71762304000205,8.94585112004462,1.9437211406764,96.4778551492139,3.2866414053023,88.6575296841107,8.9937761788041,74.4319618165835,10.743645677847,24.3799669717527,9.93129843784499,100,0,89.1125554579533,10.7363589581083,145.843564320698,29.9932708988273,0.0022968659296345,0.00162072241462939,0.346930282362499,0.114494936408068,98.1429248418162,28.5866892247621,17.1716766295566,3.84769042818813,84.9146618964931,35.6611411422625,16.464563972523,3.55119025504795,98.7630930134142,2.17244450946443,87.6041736538373,7.92100772558976,1.61518732147506,0.394781986272241,0.0760586637020633,0.0390209817367356,1.87255767205386,0.485506444518347,4.86658108949354,2.09897916495682,0.72505082305253,0.233963663400732,7.88614350606167,2.08106814355344,97.8982091593089,2.48540944947947
32,81,2.14645727320761,0.759540150165392,98.0694867488893,3.15147969348267,80.9557636243401,13.4850371771742,96.233732836178,6.29418566244626,98.1660759430306,2.56968847719702,2.78213798064412,1.16582484872268,18.2424048243132,4.76099271417598,26.60510551639,7.39463945711933,93.3945506783209,4.44764019045924,99.8448410215335,0.483173153544814,0.205050082316232,0.0365120945371576,0.206028237162618,0.0421574180818828,0.144025998155364,0.0489529764490227,95.6933541099645,6.88376204119396,8.85207576863512,1.96653329120017,95.8273824650655,4.20217109998802,88.6769708969192,9.28189604050786,75.2725966396588,11.3191068061627,23.7857945569545,10.2181327030249,100,2.86422250103269e-14,89.262574622468,10.9607198255006,146.854995251822,31.2954538617034,0.00246324500758646,0.00167346602394947,0.340720092180089,0.117130107331396,99.2640235249761,29.3816285695085,17.0664398008235,3.80080568710322,84.9803766636716,35.2664098046145,16.308698412982,3.54163167590553,98.793205222348,2.1546253521671,88.7951051895629,7.19369399314773,1.60450135150181,0.384983263296129,0.074663310218107,0.0382098659889794,1.91446679880564,0.535843258041757,4.82725744392378,2.25494613423542,0.716996987577586,0.223109458163215,7.87013137760587,2.1112349114645,97.9322519206456,2.3603880110798
33,80,2.20417033958208,0.901503069803902,97.9585320520453,3.1696183111839,81.4712123092737,13.6834241396697,95.4286100884445,7.0697178946298,98.2403356314009,2.43521002909946,2.79511278131464,1.14906626164642,18.4010433812385,4.76987026691417,27.167538599324,7.57786021707302,93.6515242043625,4.38927220565159,99.9305139180609,0.254431805476118,0.203054622151538,0.0377118118236946,0.202180386765562,0.0411745832362008,0.145533466866928,0.054440804410596,95.2484099716202,7.2314064209586,8.7545346163957,1.95632048309288,95.9116487702961,4.15409880362315,88.6023117240299,9.6966616093267,75.8444556953038,12.295576516846,23.5457526155253,10.8723729308594,99.9999999999999,5.72929927923861e-14,89.2943081266542,11.3148328433786,148.450820392293,32.1747892234262,0.00256892753499194,0.00176000077224324,0.340601265099177,0.115899060947038,98.2046657389393,27.4776239066067,17.2017499170688,3.92866309844519,85.6349489487409,34.579726079825,16.2747110003071,3.5798835527228,98.7553255780311,2.17348345132357,89.5073275500156,6.91057094682214,1.5922916177003,0.361671729718059,0.0749344476857575,0.0381302663208737,1.93949436102202,0.535647581255492,4.68754736195021,2.12798691056751,0.714353093214017,0.21701953209652,7.63464349369246,2.37801497683957,98.0841775254491,2.13539479843012
34,74,2.28540773088837,1.05039462153078,97.8890327446098,3.16970906598372,82.3248558848784,14.1577661990807,94.7724173640161,7.49611850885337,98.2586162089388,2.40037257226185,2.93248905744778,1.34411347791422,18.5950400828838,4.66693656249934,27.0661440203347,5.91076171273974,93.7909391247379,4.38577134494313,99.7006537700444,0.736551720373924,0.196595911027499,0.0352390177450965,0.193799441699407,0.035875281009591,0.143197810646746,0.0585273204793324,94.6667043729071,7.60999806590953,8.55588849675063,1.98006697532109,96.1075226284824,4.17048431124701,88.1919847797166,11.2117830625404,76.6542758883013,13.2812958934412,23.2499288636777,11.6516971574261,100,2.86816612756048e-14,89.5728321727009,11.6514018389123,151.046173103615,33.3102002612625,0.0027064057793894,0.00191912102461456,0.342190421661997,0.109455443051368,99.9962196385471,29.3456780635981,17.464981246851,4.2734178360553,85.8399850535855,33.8366638649304,16.1289692316797,3.49163829046166,98.7223072348447,2.19090182029059,90.0753418745387,6.67885561421381,1.58256818933012,0.321916387068389,0.0740684234612783,0.037402404969682,1.9665615704497,0.528642369984594,4.53271071181348,1.84360350899961,0.703006120895624,0.206870681824624,7.44245867727809,2.52659778120609,98.2103243266419,2.03952655915333
35,59,2.05576434330586,0.292155139762237,97.5947710364057,3.48835256674487,82.8406034793919,15.0248742016151,94.1382688936664,7.75805197482942,98.2935998172683,2.39404923463089,2.97323183986992,1.36705172643265,18.1869540298218,3.64488449357273,28.0568275113853,5.94296920597789,93.3981851674189,5.09562421224645,99.5853992340752,0.891035242501747,0.188718450759393,0.0370811465615838,0.189287452342345,0.0360984131664184,0.139496797902818,0.0588645924210125,94.0531991667775,7.8427217870621,8.53150400942881,2.08914519502218,96.2452478347062,4.40150724386177,88.5090935147954,12.2345552349664,77.4418145611644,13.9386684093552,21.8082986281946,13.0098285469329,99.8591185044168,0.837120705491918,89.6560462913945,12.3251545825451,155.442663383817,34.9142114006579,0.00273502130001037,0.00222025314181567,0.339944127741704,0.112942425496365,102.001354380404,30.1632233836524,17.5194171357256,4.4834865500091,89.6078914518921,36.5376067413032,16.448305651789,4.00487058414875,97.8447885439851,3.2218668666163,89.8625400155225,7.58920107972664,1.60224705347227,0.304824009779017,0.073919314931264,0.0375128553647135,2.05584588891187,0.578766630675858,4.37338628960413,1.79276885074532,0.700696948309795,0.212258298951508,7.40673680581087,2.90333157913883,98.5674918233728,1.67999049136319
36,55,2.07442188289023,0.259186610319815,97.5776623545744,3.49104080519169,83.5820426444299,15.6977593013054,94.1196467298364,7.62284878811601,98.209125629575,2.48322836180941,3.22757547976307,1.66546838867253,18.6587789311085,3.62109844828531,28.0075494801408,5.37945441029918,93.232351974372,5.1582468864102,99.5187428754844,0.980514556757418,0.184990270445292,0.0349956503063862,0.186670303761757,0.0335775497776839,0.149922527672624,0.0711534623726927,93.8982284180776,7.87763202903798,8.57108213470343,2.21636771051676,96.5762747356254,4.56242677837711,89.5285156536296,12.3688675983052,76.0678361610869,15.7791355277342,21.7651788687989,13.633031186831,99.8429542437739,0.883164491212887,90.1319258806126,12.6217210059412,151.087456018812,32.4572428162728,0.00275459556152389,0.00240725935232757,0.329493322926643,0.113234099289151,101.09399571912,29.225829778547,17.182756379509,4.40427319977936,89.9219643317784,35.9480357323869,16.7225301794894,4.33534485228718,97.7870578368159,3.24159285892694,89.916877084937,7.50387727860912,1.61683504019422,0.277146437162654,0.0732039595843246,0.0369679873976247,2.07853348035367,0.56107793837802,4.43024851135057,1.81624586969734,0.657796436152435,0.165141760550502,7.34498154744837,3.18986051291225,98.8607171981315,1.49818085213536
37,55,2.09095033282152,0.293570067602535,97.8388409630818,3.14371656483236,83.695479416309,15.8924988240364,94.0017931869532,7.80632866981534,98.2892825045453,2.51931912669974,3.20123631400266,1.64367643779653,18.6967373788413,3.42537296932309,28.2042966905289,5.46912955650338,93.0839813390469,4.99854390782223,99.4911731122256,1.01328690654134,0.181764189024051,0.0328163477420698,0.184220615920204,0.0391215381681445,0.151061390610967,0.0706552815897689,93.3473654536921,8.87811858357154,8.94067047816967,2.3463167246913,96.4454547312952,5.32447014354283,89.596065545077,12.7672527214913,77.1175185201645,13.5318432722913,22.2447827129674,13.2410087610531,99.8551994540107,0.8486868325889,90.5114548243012,12.4629555475431,149.787863331437,28.9405397110588,0.00250874413146723,0.00255170908191728,0.333480631079802,0.112225966114846,100.487954713244,28.0185335073296,17.0280376988046,4.38283197914414,88.5726440446185,35.5561334437702,16.9386264719184,4.60251440423394,97.5321502704548,3.38149341635858,89.1613713240543,8.26137297631669,1.69722366568283,0.33296922603427,0.0705348826458212,0.0367372772821322,2.08790755163442,0.562738699804169,4.47672014879848,1.9041847362415,0.72815103991699,0.240267167427337,7.8248534308702,3.25025025886598,97.7480624841181,3.75549814433373
